다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
6345462,2017081,4812110400,202748001,경남 창원서부1,경상남도 창원시 의창구 소답동(  인근),6,6,0,1,5,0,128.6262528,35.26119924
6345423,2017081,4812515800,200248001,경남 마산중부1,경상남도 창원시 마산합포구 해운동(월영광장 부근),7,7,0,7,0,0,128.5583679,35.17975211
6345618,2017081,4812710400,202548001,경남 마산동부1,경상남도 창원시 마산회원구 석전동(- 인근),5,6,0,5,1,0,128.5807245,35.23591231
6345436,2017081,4817010400,200348001,경남 진주1,경상남도 진주시 칠암동(로데오 부근),3,3,2,1,0,0,128.0943293,35.1789497
6345438,2017081,4822011000,200648001,경남 통영1,경상남도 통영시 북신동(흥국쌍용화재 부근),5,5,0,4,1,0,128.4285696,34.85546707
6345468,2017081,4825010700,200948002,경남 김해중부2,경상남도 김해시 삼계동(김남주이비인후과 부근),5,6,0,3,3,0,128.8719251,35.2614128
6345385,2017081,4825011800,200948001,경남 김해중부1,경상남도 김해시 어방동((에이스빌딩앞교차로) 부근),7,7,0,5,2,0,128.905079,35.2448483
6345309,2017081,4825025027,202848001,경남 김해서부1,경상남도 김해시 진영읍(신라하우징 부근),6,6,0,1,4,1,128.7348501,35.30289563
6345403,2017081,2653010400,121526002,부산 부산사상2,부산광역시 사상구 괘법동(GS25시 부근),4,4,0,1,3,0,128.9844806,35.16425099
6345302,2017081,2653010500,121526001,부산 부산사상1,부산광역시 사상구 감전동(유성스크린 부근),4,5,0,4,0,1,128.9883697,35.1582348
6345580,2017081,2920010900,240629001,광주 광주광산1,광주광역시 광산구 우산동(하남주공아파트 부근),7,7,0,2,5,0,126.8056934,35.16396761
6345579,2017081,2920010900,240629002,광주 광주광산2,광주광역시 광산구 우산동(한국외환은행광산지점 부근),5,5,3,1,1,0,126.8079714,35.16151431
6345413,2017081,2920011500,240629003,광주 광주광산3,광주광역시 광산구 월계동(하나산부인과 부근),5,5,0,3,2,0,126.8427006,35.21608177
6345653,2017081,2920011600,240629004,광주 광주광산4,광주광역시 광산구 쌍암동(별미콩나물 부근),4,4,1,1,2,0,126.8460505,35.21897631
6345538,2017081,1156011300,111611004,서울 서울영등포4,서울특별시 영등포구 당산동3가(영등포구청역 부근),4,4,0,2,2,0,126.8964776,37.52519054
6345354,2017081,1156013200,111611001,서울 서울영등포1,서울특별시 영등포구 신길동(우신초등교앞 부근),5,5,0,2,3,0,126.910606,37.50981171
6345681,2017081,2711010500,223227001,대구 대구중부1,대구광역시 중구 삼덕동1가(항아리 숯불갈비 부근),11,13,0,2,8,3,128.5990107,35.86715751
6345652,2017081,2711012200,223227002,대구 대구중부2,대구광역시 중구 공평동(앰버서더호텔앞 부근),6,6,0,4,2,0,128.5977679,35.87055452
6345432,2017081,2920011900,240629005,광주 광주광산5,광주광역시 광산구 신가동(내고향찐빵손만두 부근),4,5,0,4,1,0,126.83251,35.18449379
6345600,2017081,3011010200,250330001,대전 대전동부1,대전광역시 동구 인동(동대전농협인효로지점 부근),4,4,0,3,1,0,127.438911,36.31938516
6345548,2017081,4413111800,162144001,충남 천안동남1,충청남도 천안시 동남구 신부동((민현빌딩) 부근),7,7,0,2,4,1,127.1542047,36.81886599
6345492,2017081,4420010100,160844001,충남 아산1,충청남도 아산시 온천동(역전삼거리 부근),9,9,0,1,8,0,127.0039117,36.78036909
6345553,2017081,1156013300,111611002,서울 서울영등포2,서울특별시 영등포구 대림동(대림우성아파트사거리_대림로_진 부근),4,4,0,4,0,0,126.9011999,37.49325161
6345467,2017081,1159010700,111911001,서울 서울동작1,서울특별시 동작구 사당동(이수역_사당로_진출_2 부근),8,9,0,8,1,0,126.9802702,37.48485871
6345565,2017081,2711014300,223227003,대구 대구중부3,대구광역시 중구 포정동(GS25 포정동점 부근),4,4,0,2,2,0,128.593979,35.87200606
6345647,2017081,2714010100,220427001,대구 대구동부1,대구광역시 동구 신암동(경대정문B 부근),4,4,0,2,2,0,128.6137509,35.88455981
6345327,2017081,4128111900,132141001,경기 고양2,경기도 고양시 덕양구 내유동(코사마트내유점 부근),4,4,0,2,2,0,126.8437448,37.72533754
6345552,2017081,4137010300,132441003,경기 화성동부3,경기도 오산시 원동(오산파출소앞 부근),5,5,0,1,4,0,127.0683719,37.14623446
6345299,2017081,3111010500,260231001,울산 울산중부1,울산광역시 중구 옥교동(안국한의원앞사거리 부근),4,4,0,2,2,0,129.3243647,35.55526743
6345449,2017081,3114010100,260331001,울산 울산남부1,울산광역시 남구 무거동(신부로터리 부근),4,4,0,3,1,0,129.2635382,35.55041199
